Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos,Team
Mark O'Mahony,IRL,FW,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Carl Rushworth,ENG,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Imari Samuels,ENG,DF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Freddie Simmonds,ENG,DF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Jacob Slater,IRL,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Charlie Tasker,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Moisés Caicedo,ECU,MF,22.0,38.0,38.0,3351.0,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,DF,Chelsea
Cole Palmer,ENG,MF,22.0,37.0,36.0,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,FW,Chelsea
Levi Colwill,ENG,DF,21.0,35.0,35.0,3149.0,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,,Chelsea
Marc Cucurella,ESP,DF,26.0,36.0,33.0,2988.0,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,,Chelsea
Enzo Fernández,ARG,MF,23.0,36.0,32.0,2947.0,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,,Chelsea
Robert Sánchez,ESP,GK,26.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Chelsea
Nicolas Jackson,SEN,FW,23.0,30.0,28.0,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,,Chelsea
Noni Madueke,ENG,FW,22.0,32.0,27.0,2033.0,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,,Chelsea
Pedro Neto,POR,FW,24.0,35.0,24.0,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,,Chelsea
Malo Gusto,FRA,DF,21.0,32.0,19.0,1862.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,Chelsea
Jadon Sancho,ENG,FW,24.0,31.0,19.0,1764.0,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,,Chelsea
Tosin Adarabioyo,ENG,DF,26.0,22.0,15.0,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,,Chelsea
Wesley Fofana,FRA,DF,23.0,14.0,14.0,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,Chelsea
Reece James,ENG,DF,24.0,19.0,12.0,1063.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,MF,Chelsea
Trevoh Chalobah,ENG,DF,25.0,13.0,11.0,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,Chelsea
Roméo Lavia,BEL,MF,20.0,16.0,11.0,797.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,Chelsea
Christopher Nkunku,FRA,FW,26.0,27.0,9.0,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,,Chelsea
Filip Jørgensen,DEN,GK,22.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Axel Disasi,FRA,DF,26.0,6.0,4.0,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,Chelsea
João Félix,POR,FW,24.0,12.0,3.0,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,MF,Chelsea
Benoît Badiashile,FRA,DF,23.0,5.0,3.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Kiernan Dewsbury-Hall,ENG,MF,25.0,13.0,2.0,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,FW,Chelsea
Joshua Acheampong,ENG,DF,18.0,4.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Chelsea
Tyrique George,ENG,FW,18.0,8.0,1.0,183.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,Chelsea
Renato Veiga,POR,DF,21.0,7.0,1.0,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MF,Chelsea
Mykhailo Mudryk,UKR,FW,23.0,7.0,1.0,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Marc Guiu,ESP,FW,18.0,3.0,0.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Mathis Amougou,FRA,MF,18.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Shumaira Mheuka,ENG,MF,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Aaron Anselmino,ARG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Genesis Antwi,SWE,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Marcus Bettinelli,ENG,GK,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Cesare Casadei,ITA,MF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Samuel Rak-Sakyi,ENG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Ishé Samuels-Smith,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chelsea
Dean Henderson,ENG,GK,27.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Crystal Palace
Daniel Muñoz,COL,DF,28.0,37.0,37.0,3228.0,35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,,Crystal Palace
Tyrick Mitchell,ENG,DF,24.0,37.0,37.0,3092.0,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,,Crystal Palace
Maxence Lacroix,FRA,DF,24.0,35.0,35.0,3116.0,34.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,,Crystal Palace
Marc Guéhi,ENG,DF,24.0,34.0,34.0,3059.0,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,,Crystal Palace
Jean-Philippe Mateta,FRA,FW,27.0,37.0,33.0,2648.0,29.4,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,,Crystal Palace
Eberechi Eze,ENG,MF,26.0,34.0,31.0,2588.0,28.8,8.0,8.0,16.0,7.0,1.0,2.0,1.0,0.0,FW,Crystal Palace
Ismaila Sarr,SEN,MF,26.0,38.0,30.0,2711.0,30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,,Crystal Palace
Jefferson Lerma,COL,MF,29.0,33.0,26.0,2274.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,DF,Crystal Palace
Will Hughes,ENG,MF,29.0,33.0,24.0,2108.0,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,,Crystal Palace
Chris Richards,USA,DF,24.0,24.0,22.0,1922.0,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,,Crystal Palace
Adam Wharton,ENG,MF,20.0,20.0,16.0,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,Crystal Palace
Daichi Kamada,JPN,MF,27.0,34.0,15.0,1564.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,Crystal Palace
Trevoh Chalobah,ENG,DF,25.0,12.0,12.0,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,Crystal Palace
Eddie Nketiah,ENG,FW,25.0,29.0,9.0,1034.0,11.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,MF,Crystal Palace
Nathaniel Clyne,ENG,DF,33.0,13.0,5.0,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF,Crystal Palace
Justin Devenny,NIR,MF,20.0,23.0,4.0,507.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,Crystal Palace
Cheick Doucouré,MLI,MF,24.0,13.0,4.0,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Crystal Palace
Ben Chilwell,ENG,DF,27.0,8.0,1.0,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,Crystal Palace
Romain Esse,ENG,MF,19.0,7.0,1.0,138.0,1.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,Crystal Palace
Odsonne Édouard,FRA,MF,26.0,2.0,1.0,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Crystal Palace
Joachim Andersen,DEN,DF,28.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Crystal Palace
Chadi Riad,MAR,DF,21.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Joel Ward,ENG,DF,34.0,2.0,1.0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Crystal Palace
Jeffrey Schlupp,GHA,MF,31.0,12.0,0.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Crystal Palace
Matheus França,BRA,MF,20.0,4.0,0.0,55.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,FW,Crystal Palace
Jordan Ayew,GHA,FW,32.0,1.0,0.0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF,Crystal Palace
Caleb Kporha,ENG,DF,18.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Asher Agbinone,ENG,MF,18.0,2.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Naouirou Ahamada,FRA,MF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Rob Holding,ENG,DF,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Sam Johnstone,ENG,GK,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Zachariah Marsh,ENG,FW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Remi Matthews,ENG,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Kaden Rodney,ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Crystal Palace
Matt Turner,USA,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Franco Umeh-Chibueze,IRL,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Crystal Palace
Jordan Pickford,ENG,GK,30.0,38.0,38.0,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,,Everton
Vitaliy Mykolenko,UKR,DF,25.0,35.0,35.0,3082.0,34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,,Everton
Idrissa Gana Gueye,SEN,MF,34.0,37.0,35.0,3063.0,34.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,,Everton
James Tarkowski,ENG,DF,31.0,33.0,33.0,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,,Everton
Abdoulaye Doucouré,MLI,MF,31.0,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,,Everton
Iliman Ndiaye,SEN,FW,24.0,33.0,29.0,2430.0,27.0,9.0,0.0,9.0,7.0,2.0,2.0,3.0,0.0,,Everton
Jarrad Branthwaite,ENG,DF,22.0,30.0,28.0,2511.0,27.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,Everton
Jack Harrison,ENG,FW,27.0,34.0,24.0,2076.0,23.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,Everton
Ashley Young,ENG,DF,39.0,32.0,19.0,1875.0,20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,,Everton
Dominic Calvert-Lewin,ENG,FW,27.0,26.0,19.0,1609.0,17.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,,Everton
James Garner,ENG,MF,23.0,21.0,17.0,1594.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,DF,Everton
Jake O'Brien,IRL,DF,23.0,20.0,17.0,1571.0,17.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,,Everton
Beto,GNB,FW,26.0,30.0,15.0,1534.0,17.0,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,,Everton
Dwight McNeil,ENG,MF,24.0,21.0,15.0,1371.0,15.2,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,FW,Everton
Jesper Lindstrøm,DEN,FW,24.0,25.0,15.0,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,Everton
Orel Mangala,BEL,MF,26.0,19.0,14.0,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,Everton
Michael Keane,ENG,DF,31.0,14.0,11.0,1049.0,11.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,,Everton
Carlos Alcaraz,ARG,FW,21.0,15.0,7.0,764.0,8.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,MF,Everton
Tim Iroegbunam,ENG,MF,21.0,18.0,5.0,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,Everton
Armando Broja,ALB,FW,22.0,10.0,4.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Everton
Nathan Patterson,SCO,DF,22.0,10.0,3.0,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,Everton
Séamus Coleman,IRL,DF,35.0,5.0,3.0,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Everton
Roman Dixon,ENG,DF,19.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Harrison Armstrong,ENG,MF,17.0,3.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Everton
Youssef Chermiti,POR,FW,20.0,4.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF,Everton
Mason Holgate,JAM,FW,27.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Everton
Callum Bates,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Asmir Begović,BIH,GK,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Coby Ebere,GER,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Isaac Heath,ENG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Neal Maupay,FRA,FW,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Everton
Jenson Metcalfe,ENG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Martin Sherif,NED,FW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
João Virgínia,POR,GK,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Reece Welch,ENG,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Everton
Bernd Leno,GER,GK,32.0,38.0,38.0,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,,Fulham
Antonee Robinson,USA,DF,26.0,36.0,35.0,3167.0,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,,Fulham
Alex Iwobi,NGA,FW,28.0,38.0,35.0,2981.0,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,MF,Fulham
Calvin Bassey,NGA,DF,24.0,35.0,34.0,3074.0,34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,,Fulham
Raúl Jiménez,MEX,FW,33.0,38.0,30.0,2494.0,27.7,12.0,3.0,15.0,9.0,3.0,3.0,4.0,0.0,,Fulham
Joachim Andersen,DEN,DF,28.0,29.0,29.0,2583.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,Fulham
Saša Lukić,SRB,MF,27.0,30.0,28.0,2344.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,,Fulham
Sander Berge,NOR,MF,26.0,31.0,26.0,2224.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,Fulham
Emile Smith Rowe,ENG,MF,24.0,34.0,25.0,2043.0,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,,Fulham
Andreas Pereira,BRA,MF,28.0,33.0,25.0,2013.0,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,,Fulham
Kenny Tete,NED,DF,28.0,22.0,21.0,1774.0,19.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,,Fulham
Adama Traoré,ESP,FW,28.0,36.0,18.0,1772.0,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,MF,Fulham
Timothy Castagne,BEL,DF,28.0,24.0,17.0,1649.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,Fulham
Issa Diop,FRA,DF,27.0,21.0,15.0,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Fulham
Harry Wilson,WAL,FW,27.0,25.0,12.0,1162.0,12.9,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,MF,Fulham
Rodrigo Muniz,BRA,FW,23.0,31.0,8.0,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,,Fulham
Ryan Sessegnon,ENG,FW,24.0,16.0,7.0,580.0,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,DF,Fulham
Reiss Nelson,ENG,FW,24.0,11.0,5.0,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,Fulham
Jorge Cuenca,ESP,DF,24.0,8.0,4.0,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fulham
Tom Cairney,SCO,MF,33.0,25.0,3.0,628.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,,Fulham
Willian,BRA,FW,35.0,10.0,2.0,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Fulham
Joshua King,ENG,MF,17.0,8.0,1.0,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fulham
Harrison Reed,ENG,MF,29.0,12.0,0.0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Fulham
Martial Godo,ENG,FW,21.0,2.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Fulham
Carlos Vinícius,BRA,MF,29.0,3.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Fulham
Jay Stansfield,ENG,MF,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fulham
Samuel Amissah,ENG,DF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fulham
Steven Benda,GER,GK,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fulham
Dara O'Shea,IRL,DF,25.0,35.0,35.0,3122.0,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,,Ipswich Town
Leif Davis,ENG,DF,24.0,33.0,32.0,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,,Ipswich Town
Liam Delap,ENG,FW,21.0,37.0,32.0,2593.0,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,,Ipswich Town
Sam Morsy,EGY,MF,32.0,33.0,31.0,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,,Ipswich Town
Omari Hutchinson,ENG,MF,20.0,31.0,30.0,2583.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,FW,Ipswich Town
Jacob Greaves,ENG,DF,23.0,25.0,25.0,2205.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,,Ipswich Town
Jens Cajuste,SWE,MF,24.0,30.0,25.0,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,Ipswich Town
Axel Tuanzebe,COD,DF,26.0,22.0,20.0,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,,Ipswich Town
Arijanet Muric,KVX,GK,25.0,18.0,18.0,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Ipswich Town
Cameron Burgess,AUS,DF,28.0,18.0,16.0,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Ben Johnson,ENG,DF,24.0,23.0,14.0,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,FW,Ipswich Town
Kalvin Phillips,ENG,MF,28.0,19.0,14.0,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,Ipswich Town
Alex Palmer,ENG,GK,27.0,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Ipswich Town
Sammie Szmodics,IRL,FW,28.0,20.0,13.0,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,MF,Ipswich Town
Luke Woolfenden,ENG,DF,25.0,15.0,12.0,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Ipswich Town
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Jack Clarke,ENG,FW,23.0,32.0,12.0,1181.0,13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,MF,Ipswich Town
Wes Burns,WAL,FW,29.0,18.0,12.0,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DF,Ipswich Town
Julio Enciso,PAR,MF,20.0,13.0,12.0,869.0,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,FW,Ipswich Town
Conor Chaplin,ENG,MF,27.0,22.0,10.0,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,FW,Ipswich Town
Nathan Broadhead,WAL,MF,26.0,18.0,7.0,702.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,FW,Ipswich Town
Christian Walton,ENG,GK,28.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
George Hirst,SCO,FW,25.0,26.0,5.0,661.0,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,,Ipswich Town
Jaden Philogene Bidace,ENG,FW,22.0,10.0,5.0,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,DF,Ipswich Town
Jack Taylor,IRL,MF,26.0,32.0,4.0,860.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,Ipswich Town
Harry Clarke,ENG,DF,23.0,7.0,4.0,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,Ipswich Town
Conor Townsend,ENG,DF,31.0,6.0,3.0,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,Ipswich Town
Chiedozie Ogbene,IRL,FW,27.0,5.0,3.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Massimo Luongo,AUS,MF,31.0,11.0,2.0,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Ben Godfrey,ENG,DF,26.0,3.0,2.0,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Ipswich Town
Ali Al Hamadi,IRQ,FW,22.0,11.0,0.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Ipswich Town
Marcus Harness,ENG,MF,28.0,2.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
George Edmundson,ENG,DF,26.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Somto Boniface,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Cieran Slicker,SCO,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Tom Taylor,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ipswich Town
Jamie Vardy,ENG,FW,37.0,35.0,35.0,2823.0,31.4,9.0,4.0,13.0,8.0,1.0,2.0,5.0,0.0,,Leicester City
James Justin,ENG,DF,26.0,36.0,34.0,2912.0,32.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,,Leicester City
Wout Faes,BEL,DF,26.0,34.0,30.0,2815.0,31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,Leicester City
Victor Bernth Kristiansen,DEN,DF,21.0,30.0,29.0,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,Leicester City
Wilfred Ndidi,NGA,MF,27.0,28.0,28.0,2324.0,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,,Leicester City
Mads Hermansen,DEN,GK,24.0,27.0,27.0,2385.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Leicester City
